name,zip
Washington Ave & E 163 St,10451
E 80 St & 2 Ave,10028
31 Ave & 30 St,11102
Fort Washington Ave & W 183 St,10033
Goble Pl & Macombs Rd,10452
Folin St & E 181 St,10457
48 Ave & 31 St,11101
48 St & Barnett Ave,11104
60 Pl & Bleecker St,11385
65 Pl & Central Ave,11385
Grove St & Fresh Pond Rd,11385
60 Pl & Flushing Ave,11378
Quincy St & Malcolm X Blvd,11221
Jefferson Ave & Patchen Ave,11221
E New York Ave & St Marks Ave,11212
Pacific St & Ralph Ave,11233
Pacific St & Sackman St,11233
61 St & Borden Ave,11378
St Johns Pl & Saratoga Ave,11233
58 St & 56 Dr,11378
New York Ave & Crown St,11213
Crown St & Troy Ave,11213
Clarkson Ave & Nostrand Ave,11226
E New York Ave & Brooklyn Ave,11225
65 Pl & Metropolitan Ave,11379
Lefferts Ave & Albany Ave,11203
Lefferts Ave & Schenectady Ave,11203
President St & Nostrand Ave,11225
Rutland Rd & Brooklyn Ave,11203
Flatbush Ave & Lincoln Rd,11225
North Moore St & Greenwich St,10013
Madison St & Montgomery St,10002
Maurice Ave & 53 Dr,11378
Montgomery St,7302
Communipaw & Berry Lane,7304
Lincoln Ave & E 134 St,10454
Boerum St & Broadway,11206
E 138 St & Willow Ave,10454
Leonard St & Maujer St,11206
Stewart Ave & Johnson Ave,11237
41 St & 3 Ave,11232
Henry St & Bay St,11231
Manhattan Av & Leonard St,11222
48 St & 2 Ave,11220
George St & Wilson Ave,11206
Knickerbocker Ave & Thames St,11237
10 St & 2 Ave,11215
E 3 St & Church Ave,11218
2 Ave & 44 St,11232
Richards St & Delavan St,11231
Union Ave & Jackson St,11211
Commerce St & Van Brunt St,11231
8 St & Washington St,7030
Berry St & N 8 St,11249
Wolcott St & Dwight St,11231
5 St & 51 Ave,11101
Harrison Pl & Porter Ave,11237
Metropolitan Ave & Stewart Ave,11237
Columbia St & Degraw St,11231
Bedford Ave & S 9 St,11211
Clinton St & Centre St,11231
Jackson St & Leonard St,11211
Columbia St & W 9 St,11231
Sigourney St & Columbia St,11231
