zipcode,tree_count,num_of_bike_trips
11377,5651,7734
11101,3387,29322
11201,4514,207030
11217,3244,34583
11205,2640,110638
11211,4143,63765
11249,1842,75691
11222,3704,46896
11206,4068,20320
11221,5098,5319
11213,3652,712
11216,3512,21642
11238,3872,45660
11233,4732,1889
10003,2025,810057
10011,2134,670610
10012,1076,438511
10013,1202,374356
10004,118,115466
10005,144,39795
10280,418,35132
10282,234,65630
10038,374,132760
10002,2265,480947
10007,355,93657
10010,889,215920
10016,1872,388124
10009,1924,405500
10001,911,694251
10018,485,243120
10036,894,313306
10019,1715,458448
10014,2591,461153
10017,848,123514
10022,1627,179692
10021,1959,34486
10065,1911,50007
10075,899,12968
10028,1806,36839
10024,3311,54699
10023,2260,84222
10006,53,106631
10069,119,4375
